Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
86	10190.577	131.41968	10383.156	10022.268	10034.541	129.49323	10228.858	9816.655	1000.0	1000.0	343999	715.0204	185.29776	898.91284	-9.31598	715.0201	185.29623	902.519	-33.11193	5.9327435	4.6797886	50.966362	-11.058461	-714.7661	67.6645	17119.163714647293
87	9891.527	128.73843	10043.633	9696.371	10108.579	215.82033	10359.286	9684.061	1000.0	1000.0	347999	718.11505	184.93713	902.78253	-58.235474	718.11456	184.9364	904.2826	-47.95187	5.87983	4.646532	77.02207	-11.783075	-717.834	68.31829	17477.351866960526
88	9921.862	194.14153	10205.647	9658.444	10589.252	150.05824	10858.624	10429.825	1000.0	1000.0	351999	720.33246	185.14552	905.067	-25.050491	720.33264	185.14362	902.7578	-7.831126	5.9664254	4.6455984	57.032764	-11.922506	-720.054	67.43201	17750.494682073593
89	9809.424	119.37537	9994.164	9664.254	10269.875	173.57787	10456.3125	9920.31	1000.0	1000.0	355999	723.66266	184.1926	907.10443	-50.167156	723.66296	184.19014	902.90753	-20.973772	5.932317	4.638577	65.37271	-11.1387205	-723.3555	66.773346	17948.68290901184
90	10187.785	61.593983	10257.494	10091.869	10600.018	67.78368	10755.739	10510.653	1000.0	1000.0	359999	726.5955	184.48318	905.5216	-12.976978	726.59576	184.48138	908.85846	-26.526825	5.93766	4.6290793	59.517445	-13.247314	-726.2865	67.19649	18143.69058394432
91	10080.6875	138.48991	10231.901	9870.345	10231.331	224.1007	10634.734	9908.07	1000.0	1000.0	363999	728.4462	185.27663	913.275	-18.168016	728.44617	185.27368	914.62006	-35.560852	5.945486	4.6614885	63.469353	-14.44512	-728.137	65.30179	18345.572837352753
92	10083.479	223.15546	10446.901	9844.39	10524.615	144.20064	10739.871	10277.562	1000.0	1000.0	367999	731.3197	184.3324	913.3054	-7.830201	731.3192	184.33034	911.1195	3.338087	5.9858737	4.6547904	60.84459	-12.054935	-730.9939	67.42056	18552.570841789246
93	9982.708	43.666763	10024.616	9914.543	10419.748	72.71447	10575.517	10302.708	1000.0	1000.0	371999	733.4351	184.87074	915.5433	-18.123955	733.4356	184.86862	917.4835	-21.220795	5.9883175	4.690698	57.863495	-15.07808	-733.07837	68.25422	18754.18188548088
94	10245.773	244.6926	10506.979	9859.441	10533.977	112.89889	10750.692	10402.366	1000.0	1000.0	375999	736.6051	183.83461	919.3578	8.628419	736.6051	183.83243	922.04486	-9.92091	6.037002	4.679811	63.610268	-12.103584	-736.2784	66.52819	18965.80247402191
95	10253.786	49.53525	10338.125	10210.894	10649.632	127.735825	10815.946	10389.563	1000.0	1000.0	379999	738.2945	184.62418	921.5606	-29.011566	738.29456	184.62155	920.27203	-62.207096	6.0140796	4.6707883	86.65167	-14.644188	-737.93396	66.4449	19186.029942512512
