Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
34	6624.3115	109.6581	6741.1685	6471.3794	6807.995	104.74489	6980.6284	6559.86	1000.0	1000.0	135999	384.0794	136.58517	537.0581	-31.169556	384.07965	136.58485	534.9473	-50.929474	3.243982	4.359496	50.618843	-13.842912	-384.23587	27.369917	3044.694438457489
35	6484.9517	38.996235	6542.42	6448.738	7233.4385	142.90509	7474.2817	6922.5117	1000.0	1000.0	139999	391.86145	138.09457	541.7501	-57.196625	391.86063	138.0941	543.3105	-49.00316	3.369265	4.3333545	45.90181	-13.732467	-392.0093	29.80625	3156.0212693214417
36	6622.8135	155.34615	6788.6465	6395.6113	7313.4033	118.07368	7475.3726	7070.13	1000.0	1000.0	143999	399.40353	139.54256	552.44727	-28.354908	399.40283	139.5421	553.04694	-44.32821	3.4864595	4.4069266	64.57033	-13.08518	-399.54184	29.82281	3241.035940170288
37	6814.684	159.1197	7039.943	6590.5103	6995.124	95.2006	7130.3154	6801.3057	1000.0	1000.0	147999	407.23083	141.11739	568.5767	-49.59354	407.23077	141.11665	569.45905	-28.767445	3.5594306	4.42475	74.82336	-14.449131	-407.35703	31.23425	3329.248019695282
38	6660.5815	156.15195	6890.746	6453.497	7142.4585	89.15977	7280.556	7016.207	1000.0	1000.0	151999	414.44	142.71785	573.07196	-35.385757	414.43948	142.71745	574.1325	-16.696629	3.6445587	4.393224	77.29321	-12.776257	-414.52774	32.057846	3414.394080400467
39	6982.2334	101.39213	7149.8154	6893.077	7805.607	113.80224	7963.7305	7560.4634	1000.0	1000.0	155999	421.4194	143.72832	591.4605	-19.12735	421.41855	143.72876	590.6983	-26.553051	3.696591	4.4052014	54.90869	-14.025431	-421.514	32.112175	3500.011829137802
40	6915.6826	119.436615	7059.831	6730.6533	7670.3022	98.8206	7838.1147	7526.5713	1000.0	1000.0	159999	428.76837	144.93152	601.2263	-17.70409	428.76825	144.93053	600.16315	-11.669541	3.7723305	4.438794	88.878136	-13.822409	-428.8642	32.483265	3585.3805000782013
41	7273.3975	212.89163	7545.602	6975.209	7771.6196	143.58856	7961.495	7576.751	1000.0	1000.0	163999	436.1206	146.52724	605.7824	-54.646503	436.12088	146.52664	605.549	-12.193125	3.7966185	4.4303904	57.12812	-13.163378	-436.2069	32.863968	3670.43039894104
42	7039.0967	204.74554	7271.454	6824.3447	8107.057	137.53793	8322.919	7872.981	1000.0	1000.0	167999	444.01276	147.98456	618.9342	-38.720238	444.01288	147.98454	621.45197	-47.728115	3.9493005	4.4628997	52.929092	-13.55365	-444.1116	35.127914	3757.876864671707
43	7241.2505	346.7281	7544.276	6681.724	7855.4443	122.12061	8044.7046	7599.7036	1000.0	1000.0	171999	451.5746	149.20375	622.79346	-23.256708	451.57425	149.20352	625.1027	-15.290453	4.067793	4.465532	43.078957	-14.324723	-451.64624	36.415546	3850.9535546302795
44	7308.5195	271.85583	7651.18	7036.7725	7656.771	161.79202	7928.4487	7421.8516	1000.0	1000.0	175999	459.1477	150.51315	639.08496	-16.883991	459.1474	150.51338	638.5376	-33.60403	4.2491355	4.4986377	50.365124	-13.95055	-459.27832	37.44111	3944.946405172348
45	7371.9717	195.46667	7700.585	7198.7114	8330.771	96.40947	8514.427	8190.9795	1000.0	1000.0	179999	467.06015	151.70941	644.80945	-20.703005	467.05975	151.70943	642.74774	-33.61475	4.1916633	4.4771547	73.17081	-14.517672	-467.14688	40.28849	4039.131959438324
46	7537.569	52.58437	7593.8203	7452.4546	7939.1147	117.05033	8152.446	7798.325	1000.0	1000.0	183999	473.88428	152.86047	657.04834	-19.18158	473.8835	152.86205	655.0547	-10.86951	4.2021575	4.4721894	55.56778	-15.030779	-473.95056	40.890095	4131.916110277176
47	7459.3247	87.4556	7554.39	7332.636	8220.454	152.5761	8390.427	7915.6606	1000.0	1000.0	187999	480.8414	154.16988	663.34155	-15.382328	480.84125	154.17001	660.99133	-20.074642	4.3295455	4.476045	70.002075	-15.125809	-480.92703	41.63912	4226.629578590393
48	7786.389	28.207272	7818.3257	7749.197	7553.423	151.62988	7801.8423	7213.8003	1000.0	1000.0	191999	487.73438	155.13048	674.9786	-18.081776	487.73407	155.13206	676.3433	-26.208157	4.37652	4.515794	69.1496	-12.970953	-487.7795	44.267197	4320.303312540054
49	7733.244	122.203445	7894.434	7557.5894	7702.6943	79.41561	7835.862	7581.3394	1000.0	1000.0	195999	494.3522	155.73744	686.9349	6.813322	494.35184	155.73729	691.39856	-0.7957785	4.467321	4.5254803	57.7685	-14.221759	-494.39026	42.816166	4402.674912452698
50	7955.878	311.6038	8469.32	7696.5156	8260.803	108.44189	8431.8	8105.8594	1000.0	1000.0	199999	500.46707	157.359	695.1538	-7.9656553	500.4666	157.35994	692.55963	-10.423248	4.5361094	4.53614	54.59713	-12.641167	-500.50693	43.854538	4484.109797239304
51	7825.795	178.7504	8012.087	7612.1353	8031.4736	122.62693	8247.107	7877.017	1000.0	1000.0	203999	506.88983	158.48376	699.4242	-1.9928646	506.8896	158.48463	700.0696	0.5918069	4.620407	4.585825	70.166016	-13.218239	-506.9233	45.131462	4565.579324960709
52	7981.587	98.81912	8124.15	7886.4395	8650.533	217.2728	9123.586	8336.488	1000.0	1000.0	207999	513.4572	158.99066	708.274	-2.6130583	513.4572	158.99065	708.4394	-18.010317	4.682043	4.5670743	56.17688	-13.524145	-513.47815	46.6329	4646.9222066402435
53	8090.4146	79.471954	8193.693	7998.649	8654.26	144.55612	8864.279	8402.964	1000.0	1000.0	211999	520.1322	159.48097	717.55444	-9.587131	520.1319	159.48271	717.3244	-9.241877	4.7387357	4.5764046	58.972626	-13.190905	-520.1652	46.606476	4728.707653999329
54	8196.913	199.56207	8387.241	7868.261	8954.406	122.55258	9109.856	8753.33	1000.0	1000.0	215999	526.4969	160.26126	725.7013	0.8590405	526.49695	160.26378	724.0623	-4.662091	4.8318224	4.5795426	60.39062	-13.351184	-526.493	48.793064	4810.500657558441
55	8231.814	182.17276	8488.855	7976.2217	8760.057	127.75558	8955.72	8525.072	1000.0	1000.0	219999	532.49335	161.2634	726.6649	-2.7307758	532.49274	161.26474	725.1333	-13.671608	4.976546	4.59823	63.844143	-13.265991	-532.51056	49.88384	4893.208398580551
56	8346.584	211.59523	8565.876	7996.992	8909.6455	242.25131	9321.25	8598.685	1000.0	1000.0	223999	539.7546	161.16597	733.53925	-12.948689	539.75415	161.16823	731.6415	-8.062	4.967359	4.5848613	70.16953	-16.255024	-539.7849	48.685246	4986.220713853836
57	8369.456	63.17615	8476.066	8312.728	8885.104	124.43314	9143.912	8726.899	1000.0	1000.0	227999	545.26685	162.06519	740.5214	-5.467121	545.26654	162.06796	739.83496	-6.2784743	4.970078	4.570038	60.868244	-13.548803	-545.2301	50.683887	5106.459220647812
58	8505.782	175.286	8703.001	8228.729	8897.99	85.426445	9013.727	8756.675	1000.0	1000.0	231999	550.88574	162.50952	739.8872	-13.041778	550.88586	162.51039	743.38715	-1.510957	5.0359817	4.5853934	58.56878	-14.132384	-550.8787	52.14011	5225.644241809845
59	8573.879	123.775665	8712.205	8373.557	9106.297	114.1419	9257.969	8854.774	1000.0	1000.0	235999	556.2952	162.63582	744.5736	-37.322105	556.295	162.63791	747.1168	-5.30688	5.103001	4.5914316	77.48072	-14.06906	-556.2342	51.879227	5347.512623786926
60	7210.532	2542.9368	8739.598	2807.7031	8219.43	2304.2158	9118.878	1312.5148	1000.0	1000.0	239999	560.2861	164.60522	750.8083	-31.508207	560.2864	164.60722	749.4687	-32.382233	5.081743	4.58964	87.5118	-13.404692	-560.2217	53.033165	5463.950309038162
61	8226.135	158.13095	8442.601	8046.818	8761.705	125.02239	8968.756	8576.41	1000.0	1000.0	243999	564.5562	165.63211	754.36316	-377.5717	564.5559	165.63567	754.8272	-379.61392	5.12154	4.6188254	94.06854	-12.918625	-564.48285	57.8741	5573.652683258057
62	8727.863	90.82674	8796.622	8572.904	9125.587	146.97363	9429.705	8929.924	1000.0	1000.0	247999	568.8203	166.42664	758.2852	-417.42834	568.8204	166.4296	759.63275	-419.4946	5.1092005	4.5817513	73.36613	-12.576611	-568.7153	57.628777	5655.731152772903
63	8797.377	149.02498	8970.535	8559.318	8348.891	98.199326	8498.948	8186.5254	1000.0	1000.0	251999	572.72485	166.77945	761.9799	-116.19404	572.7244	166.78085	764.13306	-179.06001	5.0928774	4.5847464	97.83432	-12.822111	-572.632	54.457516	5738.36468911171
64	8591.472	73.635414	8716.064	8524.893	9290.359	81.38507	9403.783	9104.923	1000.0	1000.0	255999	577.0416	167.42654	767.3831	-179.38902	577.0419	167.42809	765.0887	-245.69493	5.1316414	4.5504417	102.12299	-12.562938	-576.9324	56.177666	5820.927735328674
65	8769.715	160.29573	8987.466	8562.576	9380.159	130.73508	9622.171	9209.632	1000.0	1000.0	259999	581.63525	167.49065	766.5641	-132.84035	581.6344	167.49419	772.1127	-128.69356	5.219705	4.5626063	80.19634	-13.799156	-581.5174	55.479893	5903.520746707916
66	8882.967	135.24611	9102.3125	8732.365	9507.781	123.67583	9770.403	9341.729	1000.0	1000.0	263999	586.3144	168.43832	780.54517	-119.49364	586.314	168.44066	778.4729	-101.994835	5.2120476	4.5385237	72.20358	-13.310648	-586.20825	56.316032	5985.636292457581
67	8666.492	210.17625	9029.529	8525.684	8846.307	87.973335	8948.384	8694.809	1000.0	1000.0	267999	591.5019	168.24724	784.7479	-175.34404	591.5016	168.25037	783.7684	-182.62769	5.2928925	4.550649	104.00804	-12.576908	-591.3505	59.10531	6068.199391126633
68	8781.071	97.69416	8911.961	8683.133	9071.695	126.07306	9349.994	8938.321	1000.0	1000.0	271999	595.89954	167.99084	788.4258	-232.89346	595.8997	167.99377	788.1675	-238.46532	5.353164	4.5980663	84.50598	-14.069006	-595.7533	59.6529	6150.603685617447
69	9109.73	80.2622	9234.335	9028.408	8270.646	136.73894	8481.962	8052.5264	1000.0	1000.0	275999	599.61505	169.06932	790.0515	-212.85043	599.615	169.07307	791.93884	-172.54692	5.3368936	4.5622196	71.358284	-16.294334	-599.48486	57.299374	6267.103547334671
70	9008.986	126.73318	9154.5	8856.759	9588.755	142.28323	9828.756	9314.485	1000.0	1000.0	279999	603.7455	169.7173	790.2865	-164.61511	603.74506	169.71881	790.4084	-168.83615	5.3323455	4.5280914	89.37667	-12.344802	-603.57935	56.490158	6379.667281150818
71	9284.545	73.818	9402.771	9199.365	9498.465	135.09561	9657.133	9279.898	1000.0	1000.0	283999	608.843	169.45818	794.66846	-120.6007	608.84235	169.46204	794.22534	-147.85384	5.4650235	4.5881467	74.945984	-14.820627	-608.7035	58.454624	6498.381376743317
72	9279.721	149.58327	9403.571	9023.966	9355.942	181.5904	9687.977	9088.738	1000.0	1000.0	287999	613.5995	169.97035	808.81616	-150.55046	613.59924	169.97333	808.05853	-178.50816	5.540928	4.5759425	83.288765	-11.438366	-613.46124	59.567154	6615.4336013793945
