Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
44	1225.834	287.61392	1599.7792	765.2318	446.38422	178.9561	641.49615	257.08224	446.38422	178.9561	641.49615	257.08224	1225.834	287.61392	1599.7792	765.2318	1000.0	1000.0	175999	81.49746	7.480225	112.22701	-33.22016	81.49756	7.48754	112.15416	-33.84476	-3.3094976	1.8572248	53.13392	-18.731047	9.040253	6.937007	4636.837175369263
45	1239.1804	287.2906	1819.8793	981.07764	273.70013	68.75421	379.25067	191.21797	273.70013	68.75421	379.25067	191.21797	1239.1804	287.2906	1819.8793	981.07764	667.0	954.3	179999	81.748856	7.5438414	113.4957	-47.46454	81.7489	7.550491	113.94284	-30.552538	-3.313664	1.8529654	52.64077	-15.121532	12.184855	6.972359	4740.462864160538
46	1540.7845	326.62628	1889.489	945.7767	330.3794	212.501	565.7065	39.349518	330.3794	212.501	565.7065	39.349518	1540.7845	326.62628	1889.489	945.7767	610.7143	1000.0	183999	82.18945	7.5823374	114.872536	-35.13687	82.18971	7.59456	114.74903	-67.14098	-3.3390622	1.8421731	39.549015	-16.72202	11.075384	6.5965223	4844.001958608627
47	1561.6687	415.98785	1811.3662	418.53326	375.91296	269.21744	884.173	78.075035	375.91296	269.21744	884.173	78.075035	1561.6687	415.98785	1811.3662	418.53326	812.0	921.8	187999	82.567245	7.7552285	112.287415	-32.39581	82.567375	7.7598753	113.29398	-23.569225	-3.292594	1.8763057	55.343006	-15.304913	10.061162	7.165712	4944.354112863541
48	1655.0922	293.32803	1975.4249	989.7949	511.64883	199.07222	809.7589	330.41345	511.64883	199.07222	809.7589	330.41345	1655.0922	293.32803	1975.4249	989.7949	1000.0	1000.0	191999	82.88075	7.852586	115.50562	-54.30292	82.88093	7.8603597	115.6614	-31.608765	-3.2522488	1.904129	36.632668	-15.307279	7.6605043	6.92197	5057.283652067184
49	1265.0834	250.79387	1828.0446	956.6521	492.42194	371.42438	1108.5842	5.097151	492.42194	371.42438	1108.5842	5.097151	1265.0834	250.79387	1828.0446	956.6521	617.2857	1000.0	195999	83.371994	8.002264	115.94415	-36.872055	83.37232	8.00881	116.984924	-33.718933	-3.26128	1.8676037	77.43359	-13.94118	8.244666	7.0095735	5177.839590787888
50	1456.0759	515.98444	2130.6326	716.0779	777.7715	404.5637	1344.0621	117.53812	777.7715	404.5637	1344.0621	117.53812	1456.0759	515.98444	2130.6326	716.0779	815.4	942.3	199999	83.82579	8.25078	118.04786	-38.82489	83.826035	8.25831	117.776405	-36.238247	-3.2591844	1.911852	43.421654	-15.916192	9.874463	7.0360045	5295.677117347717
51	1511.2556	288.16104	2044.8679	1088.4003	669.138	354.8129	1116.313	67.135735	669.138	354.8129	1116.313	67.135735	1511.2556	288.16104	2044.8679	1088.4003	808.4	1000.0	203999	84.29471	8.371324	118.482414	-33.154232	84.29492	8.378307	118.280464	-21.1714	-3.1978014	1.9226329	41.476704	-17.530983	11.644041	7.2771893	5413.397236585617
52	1814.447	179.64255	1974.3253	1317.0862	534.3253	418.08936	1303.6307	113.39232	534.3253	418.08936	1303.6307	113.39232	1814.447	179.64255	1974.3253	1317.0862	793.8	1000.0	207999	84.74443	8.607249	119.38197	-49.29462	84.74435	8.615548	118.20517	-34.7553	-3.1850991	1.9436436	42.958763	-15.552305	11.934661	7.1122713	5532.437915325165
53	807.38135	451.69095	1506.5422	25.915743	672.47815	265.37814	1015.791	270.73425	672.47815	265.37814	1015.791	270.73425	807.38135	451.69095	1506.5422	25.915743	1000.0	608.0	211999	85.13098	8.986701	121.13335	-43.564068	85.13095	8.994022	120.92509	-31.667145	-3.1266007	1.9686077	65.62511	-14.808448	12.761502	7.561352	5638.528506755829
54	1524.1726	434.59158	2175.6267	822.28546	528.0177	404.6459	1123.672	66.5809	528.0177	404.6459	1123.672	66.5809	1524.1726	434.59158	2175.6267	822.28546	761.4	1000.0	215999	85.56484	9.397896	123.39113	-43.413513	85.56516	9.402999	122.573395	-57.02834	-3.1200185	2.002892	103.90546	-15.78602	12.372974	7.6394453	5747.429176092148
55	1446.767	473.25717	2102.0083	747.3455	679.1342	154.77258	830.6736	470.818	679.1342	154.77258	830.6736	470.818	1446.767	473.25717	2102.0083	747.3455	1000.0	943.2	219999	85.90565	9.660274	122.67452	-39.284943	85.90571	9.663875	123.0993	-19.966885	-3.1382065	2.0131037	52.604637	-15.268641	13.523199	7.6213875	5855.81866312027
56	1255.416	580.96295	1989.9155	293.25702	553.48364	388.8224	1245.5496	123.81936	553.48364	388.8224	1245.5496	123.81936	1255.416	580.96295	1989.9155	293.25702	814.2	827.8	223999	86.50171	9.938373	124.7729	-40.185356	86.50221	9.943694	124.04798	-31.426542	-3.1301482	2.0107677	45.83192	-14.885717	13.349384	7.606214	5960.873509168625
57	1082.06	535.12994	1650.1927	52.012794	553.83307	307.91602	1126.805	230.97134	553.83307	307.91602	1126.805	230.97134	1082.06	535.12994	1650.1927	52.012794	832.0	796.8	227999	87.0653	10.349449	126.41223	-43.910748	87.06534	10.35445	125.044	-25.744774	-3.129052	2.0164442	58.238113	-14.99752	12.293531	7.7371144	6065.925219535828
58	1572.4261	402.96948	2176.0916	1061.4177	497.2224	165.08981	779.9689	305.0712	497.2224	165.08981	779.9689	305.0712	1572.4261	402.96948	2176.0916	1061.4177	666.8333	1000.0	231999	87.42533	10.736677	129.58755	-38.815323	87.42523	10.743181	129.5339	-37.723797	-3.0950868	2.0243611	57.08149	-14.828226	14.491752	8.451061	6174.001335144043
59	1891.9597	338.73965	2262.0173	1115.2534	702.9423	445.66147	1332.6549	43.972927	702.9423	445.66147	1332.6549	43.972927	1891.9597	338.73965	2262.0173	1115.2534	559.5714	953.2	235999	87.72888	11.089703	128.59598	-27.292477	87.72896	11.093447	130.36877	-34.800922	-3.0990522	2.0230522	41.666424	-15.410758	11.899472	8.328275	6275.2266635894775
60	1378.6869	531.9418	2270.5364	351.72525	553.8412	369.38318	1188.7162	65.12663	553.8412	369.38318	1188.7162	65.12663	1378.6869	531.9418	2270.5364	351.72525	633.0	917.8	239999	87.99956	11.456494	130.09808	-46.29341	87.99956	11.462826	130.35548	-47.26052	-3.0329504	2.0395684	40.710854	-15.847333	12.835455	8.747234	6375.624863862991
61	1158.8822	478.87912	1926.1633	220.13557	868.78796	419.84064	1379.0667	263.23062	868.78796	419.84064	1379.0667	263.23062	1158.8822	478.87912	1926.1633	220.13557	1000.0	695.1	243999	88.33815	11.959592	139.74965	-34.285748	88.33853	11.965728	134.81229	-27.032495	-3.0255568	2.0711994	70.90005	-16.627634	13.707076	9.138348	6470.764743804932
62	1541.344	480.78314	2277.133	972.1026	592.5045	318.12997	1190.6168	274.3927	592.5045	318.12997	1190.6168	274.3927	1541.344	480.78314	2277.133	972.1026	792.0	1000.0	247999	88.61974	12.204781	135.74982	-27.360886	88.61966	12.208857	134.99994	-28.857975	-3.0570407	2.076606	71.944565	-14.992844	12.61328	8.960447	6570.80192399025
63	1730.3004	435.7027	2299.419	695.7319	576.6488	285.9025	1062.6481	355.91824	576.6488	285.9025	1062.6481	355.91824	1730.3004	435.7027	2299.419	695.7319	1000.0	916.0	251999	88.95317	12.459462	134.6471	-38.778664	88.95295	12.465807	134.89314	-38.018803	-3.0619915	2.0930977	42.40129	-14.09126	14.617165	9.254227	6669.223664045334
64	1535.5873	507.2468	2255.4248	276.72958	410.70578	185.3972	601.7427	52.978798	410.70578	185.3972	601.7427	52.978798	1535.5873	507.2468	2255.4248	276.72958	727.8333	887.9	255999	89.27619	12.802481	137.5264	-42.476036	89.27615	12.80657	137.15916	-29.111158	-3.0573308	2.1068327	68.76146	-14.183163	14.552968	9.194759	6766.314957380295
65	1819.4017	369.6518	2068.383	1047.3756	460.79547	513.0057	1643.1143	30.55749	460.79547	513.0057	1643.1143	30.55749	1819.4017	369.6518	2068.383	1047.3756	492.85715	1000.0	259999	89.68863	13.207355	139.22931	-34.545837	89.68842	13.216445	136.98953	-19.913181	-3.0292168	2.128203	84.91505	-18.357506	13.8382845	9.325465	6882.008886814117
66	1257.3143	418.16394	1775.4708	428.76953	498.38525	393.07272	1153.2743	54.048695	498.38525	393.07272	1153.2743	54.048695	1257.3143	418.16394	1775.4708	428.76953	522.5714	799.4	263999	90.14755	13.701663	139.67616	-35.818905	90.14806	13.707432	138.73257	-27.128286	-3.042839	2.1237013	59.37407	-14.863489	13.465136	9.862843	6996.976284980774
67	1467.7842	429.72885	2264.0625	995.9918	530.1225	242.69513	1006.9105	267.10385	530.1225	242.69513	1006.9105	267.10385	1467.7842	429.72885	2264.0625	995.9918	760.1667	1000.0	267999	90.46889	14.119005	140.5534	-67.80225	90.46861	14.125723	140.37912	-33.847404	-3.0093484	2.1264503	78.12004	-15.333834	15.61917	10.037344	7115.743505716324
68	1391.9075	503.51932	2285.4387	663.17145	509.67136	309.80545	889.9859	17.664957	509.67136	309.80545	889.9859	17.664957	1391.9075	503.51932	2285.4387	663.17145	717.3333	864.9	271999	90.70486	14.399468	145.4726	-45.22348	90.70507	14.401692	143.09718	-30.658745	-3.0189717	2.150254	44.801292	-16.078331	14.110403	9.979449	7233.208739042282
69	1836.5461	397.01675	2288.8816	1056.1692	846.09393	592.10223	1583.3269	185.64468	846.09393	592.10223	1583.3269	185.64468	1836.5461	397.01675	2288.8816	1056.1692	700.2	1000.0	275999	91.08813	14.839527	145.89218	-36.051334	91.08787	14.845225	143.51324	-32.043846	-2.9957952	2.1653168	44.27852	-16.099888	17.327835	10.762439	7354.0632157325745
70	1998.133	364.09174	2254.694	1182.2396	606.1546	282.7808	1042.694	340.5985	606.1546	282.7808	1042.694	340.5985	1998.133	364.09174	2254.694	1182.2396	1000.0	1000.0	279999	91.20604	15.167033	147.0445	-34.730633	91.20586	15.173531	146.7025	-27.68622	-2.9494069	2.1546497	41.737877	-17.762337	18.206676	10.85143	7469.031412601471
